comp,post_bugs,size,complexity,prior_changes,change_churn,prior_bugs,total,minor,major,ownership,entropy,review_rate,review_churn_rate,voters,minor_voters,major_voters,voter_ownership,self_reviews,too_quick,little_discussion,median_revspeed,mean_revspeed,median_discussion,mean_discussion,minor_wrote_no_major_revd,minor_wrote_no_owner_revd,median_voterscore,mean_voterscore,actors,minor_actors,major_actors,actor_ownership,owner_more_author,median_maxexp,mean_maxexp,median_minexp,mean_minexp,subsystem,DataClass,TraditionBreaker,SchizophrenicClass,GodClass,GodModule,SchizophrenicModule,DataModule,FeatureEnvy,DataClumps,SiblingDuplication,InternalDuplication,ExternalDuplication,MessageChains
Utilities/vtkfreetype/src/pfr,0,2575,0.177087379,2,4277,0,2,0,2,0.5,1,0.5,0.00095057,1,0,1,1,0,1,1,0.43009768,0.43009768,7.63E-05,7.63E-05,0,0,0,0,2,0,2,1,1,1,1,1,1,VTK,13,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/vtkfreetype/src/psaux,0,3370,0.163501484,2,6007,0,2,0,2,0.5,1,0.5,0.018543493,1,0,1,1,0,1,1,0.43009768,0.43009768,7.63E-05,7.63E-05,0,0,0,0,2,0,2,1,1,1,1,1,1,VTK,3,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/vtkfreetype/src/pshinter,0,2773,0.155427335,1,5263,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,18,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/vtkfreetype/src/psnames,0,4468,0.014100269,2,10792,0,2,0,2,0.5,1,0.5,0.543584445,1,0,1,1,0,1,1,0.43009768,0.43009768,7.63E-05,7.63E-05,0,0,0,0,2,0,2,1,1,1,1,1,1,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/vtkfreetype/src/raster,0,1854,0.161812298,2,4385,0,2,0,2,0.5,1,0.5,0.01395789,1,0,1,1,0,1,1,0.43009768,0.43009768,7.63E-05,7.63E-05,0,0,0,0,2,0,2,1,1,1,1,1,1,VTK,3,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/vtkfreetype/src/sfnt,0,5320,0.170676692,2,11732,0,2,0,2,0.5,1,0.5,0.009863505,1,0,1,1,0,1,1,0.43009768,0.43009768,7.63E-05,7.63E-05,0,0,0,0,2,0,2,1,1,1,1,1,1,VTK,7,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/vtkfreetype/src/smooth,0,1234,0.148298217,2,2990,0,2,0,2,0.5,1,0.5,0.038597734,1,0,1,1,0,1,1,0.43009768,0.43009768,7.63E-05,7.63E-05,0,0,0,0,2,0,2,1,1,1,1,1,1,VTK,1,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/vtkfreetype/src/truetype,0,7025,0.163274021,2,16216,0,2,0,2,0.5,1,0.5,0.039232781,1,0,1,1,0,1,1,0.43009768,0.43009768,7.63E-05,7.63E-05,0,0,0,0,2,0,2,1,1,1,1,1,1,VTK,13,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/vtkfreetype/src/type1,0,2960,0.147297297,2,5360,0,2,0,2,0.5,1,0.5,0.003782864,1,0,1,1,0,1,1,0.43009768,0.43009768,7.63E-05,7.63E-05,0,0,0,0,2,0,2,1,1,1,1,1,1,VTK,3,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/vtkfreetype/src/type42,0,1393,0.139267767,2,2464,0,2,0,2,0.5,1,0.5,0.000833681,1,0,1,1,0,1,1,0.43009768,0.43009768,7.63E-05,7.63E-05,0,0,0,0,2,0,2,1,1,1,1,1,1,VTK,4,0,0,0,0,0,0,0,0,0,0,0,0
