comp,post_bugs,size,complexity,prior_changes,change_churn,prior_bugs,total,minor,major,ownership,entropy,review_rate,review_churn_rate,voters,minor_voters,major_voters,voter_ownership,self_reviews,too_quick,little_discussion,median_revspeed,mean_revspeed,median_discussion,mean_discussion,minor_wrote_no_major_revd,minor_wrote_no_owner_revd,median_voterscore,mean_voterscore,actors,minor_actors,major_actors,actor_ownership,owner_more_author,median_maxexp,mean_maxexp,median_minexp,mean_minexp,subsystem,DataClass,TraditionBreaker,SchizophrenicClass,GodClass,GodModule,SchizophrenicModule,DataModule,FeatureEnvy,DataClumps,SiblingDuplication,InternalDuplication,ExternalDuplication,MessageChains
Modules/ThirdParty/VNL/src/vxl/v3p/netlib/mathews,0,287,0.097560976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/ThirdParty/VNL/src/vxl/v3p/netlib/minpack,0,1432,0.161312849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/ThirdParty/VNL/src/vxl/v3p/netlib/napack,0,897,0.158305463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/ThirdParty/VNL/src/vxl/v3p/netlib/opt,0,3522,0.162691652,2,3127,0,2,0,2,0.5,0,1,1,1,0,1,1,1,1,0,18.17854396,18.17854396,0.008227648,0.008227648,0,0,0,0,3,0,3,0.5,1,0.5,0.5,0.5,0.5,ITK,1,0,0,0,0,0,0,0,0,0,0,0,0
Modules/ThirdParty/VNL/src/vxl/v3p/netlib/sparse,0,2902,0.241557547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,1,1,1,1,1,1,ITK,4,0,0,0,0,0,0,0,0,0,0,0,0
Modules/ThirdParty/VNL/src/vxl/v3p/netlib/temperton,0,4960,0.110483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/ThirdParty/VNL/src/vxl/vcl,0,10,0.400000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,1,1,1,1,0.4,0.4,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/ThirdParty/VNL/src/vxl/vcl/borland55,0,52,0.76923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/ThirdParty/VNL/src/vxl/vcl/borland56,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/ThirdParty/VNL/src/vxl/vcl/config.stlport.win32-vc60,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
