comp,post_bugs,size,complexity,prior_changes,change_churn,prior_bugs,total,minor,major,ownership,entropy,review_rate,review_churn_rate,voters,minor_voters,major_voters,voter_ownership,self_reviews,too_quick,little_discussion,median_revspeed,mean_revspeed,median_discussion,mean_discussion,minor_wrote_no_major_revd,minor_wrote_no_owner_revd,median_voterscore,mean_voterscore,actors,minor_actors,major_actors,actor_ownership,owner_more_author,median_maxexp,mean_maxexp,median_minexp,mean_minexp,subsystem,DataClass,TraditionBreaker,SchizophrenicClass,GodClass,GodModule,SchizophrenicModule,DataModule,FeatureEnvy,DataClumps,SiblingDuplication,InternalDuplication,ExternalDuplication,MessageChains
qtquick1.examples/declarative/cppextensions/referenceexamples/valuesource,0,284,0.140845071,4,792,0,2,0,2,0.75,1,1,1,6,0,6,1,0,4,2,0.325394863,0.314566303,0.000280198,0.000316375,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/flickr,0,9,0.111111121,1,55,1,1,0,1,1,0,1,1,3,0,3,1,0,1,0,5.973134925,5.973134925,0.000343997,0.000343997,0,0,0,0,6,0,6,1,0,1,1,0.954545455,0.954545455,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/helper/qmlapplicationviewer,0,74,0.14864865,1,253,1,1,0,1,1,0,1,1,3,0,3,1,0,1,0,5.973134925,5.973134925,0.000343997,0.000343997,0,0,0,0,6,0,6,1,0,1,1,0.954545455,0.954545455,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/i18n,0,9,0.111111121,5,74,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/imageelements/borderimage,0,9,0.111111121,5,74,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/imageelements/image,0,9,0.111111121,5,74,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/imageelements/shadows,0,9,0.111111121,5,74,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/keyinteraction/focus,0,9,0.111111121,5,74,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/minehunt,0,229,0.253275109,1,412,1,1,0,1,1,0,1,1,3,0,3,1,0,1,0,5.973134925,5.973134925,0.000343997,0.000343997,0,0,0,0,6,0,6,1,0,1,1,0.954545455,0.954545455,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/modelviews/abstractitemmodel,0,83,0.144578314,6,303,0,4,0,4,0.5,1,1,1,8,0,8,1,0,4,3,0.475017863,170.7989674,0.000610964,0.015223172,0,0,0,0,13,0,13,1,0,1,1,0.909090909,0.932760788,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/modelviews/gridview,0,9,0.111111121,5,74,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/modelviews/listview/dynamiclist,0,9,0.111111121,5,74,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/modelviews/listview/expandingdelegates,0,9,0.111111121,5,74,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/modelviews/listview/highlight,0,9,0.111111121,5,74,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/modelviews/listview/highlightranges,0,9,0.111111121,5,74,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/modelviews/listview/sections,0,9,0.111111121,5,74,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/modelviews/objectlistmodel,0,65,0.123076924,4,277,0,2,0,2,0.75,1,1,1,6,0,6,1,0,4,2,0.325394863,0.314566303,0.000280198,0.000316375,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/modelviews/package,0,9,0.111111121,6,74,0,3,0,3,0.666666667,1,1,1,7,0,7,1,0,5,3,0.475017863,814.9145067,0.000484638,0.083618855,0,0,0.083333333,0.166666667,9,0,9,1,0,1,1,0.909090909,0.922077922,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/modelviews/parallax,0,9,0.111111121,5,72,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/modelviews/pathview,0,9,0.111111121,5,74,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/modelviews/stringlistmodel,0,16,0.062500006,4,90,0,2,0,2,0.75,1,1,1,6,0,6,1,0,4,2,0.325394863,0.314566303,0.000280198,0.000316375,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/modelviews/visualitemmodel,0,9,0.111111121,5,74,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/photoviewer,0,9,0.111111121,1,55,1,1,0,1,1,0,1,1,3,0,3,1,0,1,0,5.973134925,5.973134925,0.000343997,0.000343997,0,0,0,0,6,0,6,1,0,1,1,0.954545455,0.954545455,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/positioners,0,9,0.111111121,5,74,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
