comp,post_bugs,size,complexity,prior_changes,change_churn,prior_bugs,total,minor,major,ownership,entropy,review_rate,review_churn_rate,voters,minor_voters,major_voters,voter_ownership,self_reviews,too_quick,little_discussion,median_revspeed,mean_revspeed,median_discussion,mean_discussion,minor_wrote_no_major_revd,minor_wrote_no_owner_revd,median_voterscore,mean_voterscore,actors,minor_actors,major_actors,actor_ownership,owner_more_author,median_maxexp,mean_maxexp,median_minexp,mean_minexp,subsystem,DataClass,TraditionBreaker,SchizophrenicClass,GodClass,GodModule,SchizophrenicModule,DataModule,FeatureEnvy,DataClumps,SiblingDuplication,InternalDuplication,ExternalDuplication,MessageChains
qtbase.src/3rdparty/freetype/src/cid,0,1263,0.133808393,1,97,0,1,0,1,1,1,1,1,5,0,5,1,1,1,0,14.55637035,14.55637035,0.000111957,0.000111957,0,0,0,0,6,0,6,1,1,1,1,1,1,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/freetype/src/gxvalid,0,5252,0.180312262,1,194,0,1,0,1,1,1,1,1,5,0,5,1,1,1,0,14.55637035,14.55637035,0.000111957,0.000111957,0,0,0,0,6,0,6,1,1,1,1,1,1,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/freetype/src/gzip,0,1389,0.182865371,2,64,0,1,0,1,1,0.982802237,1,1,5,0,5,1,0,1,0,811.1846787,811.1846787,0.014341693,0.014341693,1,1,0,0,8,0,8,1,0,1,1,1,0.997530864,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/freetype/src/lzw,0,311,0.144694534,1,29,0,1,0,1,1,1,1,1,5,0,5,1,0,1,0,14.55637035,14.55637035,0.000111957,0.000111957,0,0,0,0,6,0,6,1,1,1,1,1,1,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/freetype/src/otvalid,0,2483,0.186467982,1,79,0,1,0,1,1,1,1,1,5,0,5,1,0,1,0,14.55637035,14.55637035,0.000111957,0.000111957,0,0,0,0,6,0,6,1,1,1,1,1,1,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/freetype/src/pcf,0,1440,0.155555556,1,153,0,1,0,1,1,1,1,1,5,0,5,1,0,1,0,14.55637035,14.55637035,0.000111957,0.000111957,0,0,0,0,6,0,6,1,1,1,1,1,1,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/freetype/src/pfr,0,2554,0.178543461,1,64,0,1,0,1,1,1,1,1,5,0,5,1,0,1,0,14.55637035,14.55637035,0.000111957,0.000111957,0,0,0,0,6,0,6,1,1,1,1,1,1,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/freetype/src/psaux,0,3331,0.164815371,1,464,0,1,0,1,1,1,1,1,5,0,5,1,1,1,0,14.55637035,14.55637035,0.000111957,0.000111957,0,0,0,0,6,0,6,1,1,1,1,1,1,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/freetype/src/pshinter,0,2776,0.155259366,1,255,0,1,0,1,1,1,1,1,5,0,5,1,1,1,0,14.55637035,14.55637035,0.000111957,0.000111957,0,0,0,0,6,0,6,1,1,1,1,1,1,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/freetype/src/psnames,0,530,0,1,207,0,1,0,1,1,1,1,1,5,0,5,1,1,1,0,14.55637035,14.55637035,0.000111957,0.000111957,0,0,0,0,6,0,6,1,1,1,1,1,1,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/freetype/src/raster,0,1844,0.159436009,1,793,0,1,0,1,1,1,1,1,5,0,5,1,0,1,0,14.55637035,14.55637035,0.000111957,0.000111957,0,0,0,0,6,0,6,1,1,1,1,1,1,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/freetype/src/sfnt,0,2966,0.169925826,1,1228,0,1,0,1,1,1,1,1,5,0,5,1,1,1,0,14.55637035,14.55637035,0.000111957,0.000111957,0,0,0,0,6,0,6,1,1,1,1,1,1,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/freetype/src/smooth,0,1276,0.147335423,1,358,0,1,0,1,1,1,1,1,5,0,5,1,0,1,0,14.55637035,14.55637035,0.000111957,0.000111957,0,0,0,0,6,0,6,1,1,1,1,1,1,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/freetype/src/truetype,0,1758,0.12116041,2,791,0,1,0,1,1,0.982972182,1,1,5,0,5,1,0,1,0,811.1846787,811.1846787,0.014341693,0.014341693,0,0,0,0,6,0,6,1,1,1,1,1,1,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/freetype/src/type1,0,2910,0.146735395,1,228,0,1,0,1,1,1,1,1,5,0,5,1,1,1,0,14.55637035,14.55637035,0.000111957,0.000111957,0,0,0,0,6,0,6,1,1,1,1,1,1,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/freetype/src/type42,0,1380,0.139130435,1,52,0,1,0,1,1,1,1,1,5,0,5,1,0,1,0,14.55637035,14.55637035,0.000111957,0.000111957,0,0,0,0,6,0,6,1,1,1,1,1,1,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/freetype/src/winfonts,0,872,0.119266055,1,14,0,1,0,1,1,1,1,1,5,0,5,1,0,1,0,14.55637035,14.55637035,0.000111957,0.000111957,0,0,0,0,6,0,6,1,1,1,1,1,1,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/harfbuzz/src,0,15938,0.204228887,6,118,4,4,0,4,0.333333333,1,1,1,10,0,10,1,1,0,0,3391.715625,8942.313756,0.04375,0.165352062,29,29,0,0.027777778,28,18,10,0.979591837,0,0.979591837,0.981311027,0.979591837,0.947304265,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/iaccessible2/generated/amd64,0,913,0.015334064,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,3,1,1,1,1,0.99408284,0.99408284,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/iaccessible2/generated/x86,0,9115,0.004607789,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,3,1,1,1,1,0.99408284,0.99408284,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/libjpeg,0,10714,0.173977973,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,0,4,1,1,1,1,1,1,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/libpng,0,16177,0.263336836,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,7,0,7,1,0,1,1,1,1,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/md4,0,164,0.06097561,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/md5,0,164,0.067073171,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,5,0,5,1,0,1,1,1,1,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/pcre,0,11237,0.333540981,2,15721,0,2,0,2,0.5,1,1,1,8,0,8,1,0,1,0,2.71568523,2.71568523,3.85E-05,3.85E-05,3,3,0,0.083333333,14,0,14,1,0,1,1,1,0.996605567,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
